Survey Name RA Dec
LATISS_MD02 00000073 03:33:11.4893617 -27:59:26.45049301
LATISS_MD02 00000074 03:33:37.0212766 -27:59:26.45049301
LATISS_MD02 00000075 03:34:02.55319149 -27:59:26.45049301
LATISS_MD02 00000076 03:30:49.5119787 -28:05:04.31243879
LATISS_MD02 00000077 03:31:15.06654836 -28:05:04.31243879
LATISS_MD02 00000078 03:31:40.62111801 -28:05:04.31243879
LATISS_MD02 00000079 03:32:06.17568767 -28:05:04.31243879
LATISS_MD02 00000080 03:32:31.73025732 -28:05:04.31243879
LATISS_MD02 00000081 03:32:57.28482697 -28:05:04.31243879
LATISS_MD02 00000082 03:33:22.83939663 -28:05:04.31243879
LATISS_MD02 00000083 03:33:48.39396628 -28:05:04.31243879
LATISS_MD02 00000084 03:34:13.94853594 -28:05:04.31243879
LATISS_MD02 00000085 03:30:35.1687389 -28:10:42.17224453
LATISS_MD02 00000086 03:31:00.74600355 -28:10:42.17224453
LATISS_MD02 00000087 03:31:26.32326821 -28:10:42.17224453
LATISS_MD02 00000088 03:31:51.90053286 -28:10:42.17224453
LATISS_MD02 00000089 03:32:17.47779751 -28:10:42.17224453
LATISS_MD02 00000090 03:32:43.05506217 -28:10:42.17224453
LATISS_MD02 00000091 03:33:08.63232682 -28:10:42.17224453
LATISS_MD02 00000092 03:33:34.20959147 -28:10:42.17224453
LATISS_MD02 00000093 03:33:59.78685613 -28:10:42.17224453
LATISS_MD02 00000094 03:30:46.4 -28:16:20.02990928
LATISS_MD02 00000095 03:31:12 -28:16:20.02990928
LATISS_MD02 00000096 03:31:37.6 -28:16:20.02990928
LATISS_MD02 00000097 03:32:03.2 -28:16:20.02990928
LATISS_MD02 00000098 03:32:28.8 -28:16:20.02990928
LATISS_MD02 00000099 03:32:54.4 -28:16:20.02990928
LATISS_MD02 00000100 03:33:20 -28:16:20.02990928
LATISS_MD02 00000101 03:33:45.6 -28:16:20.02990928
LATISS_MD02 00000102 03:34:11.2 -28:16:20.02990928
LATISS_E6A 00000001 14:43:15.81036384 -44:46:45.37504682
LATISS_E6A 00000002 14:43:47.56339581 -44:46:45.37504682
LATISS_E6A 00000003 14:44:19.31642778 -44:46:45.37504682
LATISS_E6A 00000004 14:44:51.06945976 -44:46:45.37504682
LATISS_E6A 00000005 14:45:22.82249173 -44:46:45.37504682
LATISS_E6A 00000006 14:45:54.5755237 -44:46:45.37504682
LATISS_E6A 00000007 14:46:26.32855568 -44:46:45.37504682
LATISS_E6A 00000008 14:46:58.08158765 -44:46:45.37504682
LATISS_E6A 00000009 14:47:29.83461963 -44:46:45.37504682
LATISS_E6A 00000010 14:48:01.5876516 -44:46:45.37504682
LATISS_E6A 00000011 14:42:58.43209422 -44:52:22.77213221
LATISS_E6A 00000012 14:43:30.23187339 -44:52:22.77213221
LATISS_E6A 00000013 14:44:02.03165256 -44:52:22.77213221
LATISS_E6A 00000014 14:44:33.83143173 -44:52:22.77213221
LATISS_E6A 00000015 14:45:05.63121089 -44:52:22.77213221
LATISS_E6A 00000016 14:45:37.43099006 -44:52:22.77213221
LATISS_E6A 00000017 14:46:09.23076923 -44:52:22.77213221
LATISS_E6A 00000018 14:46:41.0305484 -44:52:22.77213221
LATISS_E6A 00000019 14:47:12.83032757 -44:52:22.77213221
LATISS_E6A 00000020 14:47:44.63010674 -44:52:22.77213221
LATISS_E6A 00000021 14:43:00.53097345 -44:58:00.16624781
LATISS_E6A 00000022 14:43:32.38938053 -44:58:00.16624781
LATISS_E6A 00000023 14:44:04.24778761 -44:58:00.16624781
LATISS_E6A 00000024 14:44:36.10619469 -44:58:00.16624781
LATISS_E6A 00000025 14:45:07.96460177 -44:58:00.16624781
LATISS_E6A 00000026 14:45:39.82300885 -44:58:00.16624781
LATISS_E6A 00000027 14:46:11.68141593 -44:58:00.16624781
LATISS_E6A 00000028 14:46:43.53982301 -44:58:00.16624781
LATISS_E6A 00000029 14:47:15.39823009 -44:58:00.16624781
LATISS_E6A 00000030 14:47:47.25663717 -44:58:00.16624781
LATISS_E6A 00000031 14:43:14.97784343 -45:03:37.55664714
LATISS_E6A 00000032 14:43:46.88330871 -45:03:37.55664714
LATISS_E6A 00000033 14:44:18.788774 -45:03:37.55664714
LATISS_E6A 00000034 14:44:50.69423929 -45:03:37.55664714
LATISS_E6A 00000035 14:45:22.59970458 -45:03:37.55664714
LATISS_E6A 00000036 14:45:54.50516987 -45:03:37.55664714
