year	month	sday	quarter	estimated_eighths	fraction_above_cloudcut
2015	5	31	1	0	0.9944444444444445
2015	6	10	1	2	0.8055555555555556
2015	6	10	2	1	0.8444444444444444
2015	6	10	3	2	0.8125
2015	6	10	4	1	0.8277777777777777
2015	6	17	1	0	0.95
2015	6	17	2	4	0.49444444444444446
2015	6	17	3	5	0.4
2015	6	17	4	4	0.5416666666666666
2015	6	26	1	0	0.9777777777777777
2015	6	26	2	1	0.9111111111111111
2015	6	26	3	3	0.6388888888888888
2015	6	26	4	6	0.2638888888888889
2015	6	27	2	8	0.0
2015	6	27	3	8	0.005555555555555556
2015	6	27	4	8	0.006944444444444444
2015	6	28	1	3	0.6833333333333333
2015	6	28	2	3	0.6277777777777778
2015	6	28	3	4	0.5055555555555555
2015	6	28	4	2	0.7152777777777778
2015	6	29	1	0	0.9666666666666667
2015	6	29	2	2	0.7444444444444445
2015	6	29	3	4	0.5444444444444444
2015	6	29	4	3	0.6111111111111112
2015	6	30	1	3	0.6333333333333333
2015	6	30	2	3	0.6277777777777778
2015	6	30	3	3	0.5944444444444444
2015	6	30	4	3	0.6736111111111112
2015	7	1	1	0	0.9944444444444445
2015	7	1	2	1	0.8944444444444445
2015	7	1	3	2	0.7888888888888889
2015	7	1	4	2	0.7916666666666666
2015	7	3	2	1	0.8611111111111112
2015	7	3	3	3	0.6444444444444445
2015	7	3	4	7	0.11805555555555555
2015	7	4	1	7	0.10555555555555556
2015	7	4	2	8	0.0
2015	7	4	3	8	0.022222222222222223
2015	7	4	4	8	0.020833333333333332
2015	7	5	1	7	0.08333333333333333
2015	7	5	3	8	0.04861111111111111
2015	7	5	4	8	0.0
2015	7	12	2	8	0.0
2015	7	12	3	8	0.0
2015	7	12	4	8	0.027777777777777776
2015	7	13	2	7	0.08333333333333333
2015	7	13	3	7	0.12222222222222222
2015	7	13	4	6	0.2847222222222222
2015	7	25	1	4	0.5347222222222222
2015	7	25	2	5	0.38333333333333336
2015	7	25	3	7	0.12777777777777777
2015	7	25	4	5	0.3333333333333333
2015	7	26	1	1	0.9027777777777778
2015	7	26	2	1	0.8333333333333334
2015	7	26	3	4	0.5388888888888889
2015	7	26	4	4	0.5
2015	7	27	1	8	0.006944444444444444
2015	7	27	2	8	0.0
2015	7	27	3	8	0.0
2015	7	27	4	8	0.0
2015	7	28	1	8	0.0
2015	7	28	2	8	0.0
2015	7	28	3	8	0.011111111111111112
2015	7	28	4	8	0.006944444444444444
2015	7	29	1	0	1.0
2015	7	29	2	0	0.9388888888888889
2015	7	29	3	0	0.9388888888888889
2015	7	29	4	1	0.9166666666666666
2015	7	30	1	5	0.3958333333333333
2015	7	30	2	4	0.5
2015	7	30	3	2	0.7
2015	7	30	4	2	0.7611111111111111
2015	8	3	1	5	0.3333333333333333
2015	8	3	2	7	0.07222222222222222
2015	8	3	3	8	0.0
2015	8	3	4	8	0.0
2015	8	8	1	8	0.0
2015	8	8	2	8	0.027777777777777776
2015	8	8	3	8	0.041666666666666664
2015	8	8	4	7	0.07222222222222222
2015	8	10	1	8	0.0
2015	8	10	2	8	0.011111111111111112
2015	8	10	3	8	0.0
2015	8	10	4	8	0.022222222222222223
2015	8	11	1	8	0.0
2015	8	11	2	8	0.044444444444444446
2015	8	11	3	8	0.041666666666666664
2015	8	11	4	7	0.1111111111111111
2015	8	12	1	4	0.5486111111111112
2015	8	12	2	4	0.4444444444444444
2015	8	12	3	5	0.3680555555555556
2015	8	12	4	4	0.4444444444444444
2015	8	16	1	3	0.6597222222222222
2015	8	25	1	0	0.9513888888888888
2015	8	25	2	2	0.7388888888888889
2015	8	25	3	2	0.7708333333333334
2015	8	25	4	1	0.8194444444444444
2015	8	26	1	2	0.7152777777777778
2015	8	26	2	2	0.7888888888888889
2015	8	26	3	2	0.7916666666666666
2015	8	26	4	3	0.5694444444444444
2015	8	27	2	8	0.0
2015	8	27	3	7	0.1111111111111111
2015	11	5	4	0	0.9888888888888889
2015	11	11	2	1	0.8611111111111112
2015	11	11	3	1	0.9259259259259259
2015	11	11	4	0	0.9513888888888888
2015	12	24	1	1	0.9097222222222222
2015	12	24	2	0	1.0
2015	12	24	3	0	1.0
2015	12	24	4	0	1.0
2015	12	25	1	1	0.8611111111111112
2015	12	25	2	0	0.9907407407407407
2015	12	25	3	0	1.0
2015	12	25	4	0	0.9861111111111112
