sday	eday	month	year	q1	q2	q3	q4
4	5	9	2022	0	0	0	0
5	6	9	2022	0	0	0	0
6	7	9	2022	0	0	0	0
7	8	9	2022	9	0	1	0
8	9	9	2022	3	3	3	3
9	10	9	2022	0	0	0	0
10	11	9	2022	0	0	1	0
11	12	9	2022	0	0	0	0
12	13	9	2022	2	3	6	7
13	14	9	2022	0	0	0	0
14	15	9	2022	0	0	0	0
15	16	9	2022	3	3	5	4
16	17	9	2022	8	8	8	8
17	18	9	2022	0	0	0	0
18	19	9	2022	0	0	0	0
19	20	9	2022	0	1	6	0
20	21	9	2022	0	0	0	0
21	22	9	2022	0	0	0	0
22	23	9	2022	0	0	0	0
23	24	9	2022	0	0	1	1
24	25	9	2022	1	0	0	0
25	26	9	2022	0	0	1	1
26	27	9	2022	4	4	3	2
27	28	9	2022	4	4	5	6
28	29	9	2022	2	1	0	0
29	30	9	2022	0	0	0	0
30	1	9	2022	0	0	0	0
1	2	10	2022	0	0	0	0
2	3	10	2022	0	0	0	0
3	4	10	2022	0	0	0	0
4	5	10	2022	0	8	8	8
5	6	10	2022	5	0	0	0
6	7	10	2022	0	0	0	0
7	8	10	2022	2	0	0	1
8	9	10	2022	1	1	1	1
9	10	10	2022	0	0	0	0
10	11	10	2022	0	0	0	0
11	12	10	2022	0	2	1	1
12	13	10	2022	0	0	0	0
13	14	10	2022	0	0	0	0
14	15	10	2022	0	0	0	0
15	16	10	2022	0	0	0	0
16	17	10	2022	0	0	0	0
17	18	10	2022	0	0	0	0
18	19	10	2022	0	0	0	0
19	20	10	2022	0	0	0	0
20	21	10	2022	0	0	0	0
21	22	10	2022	0	0	0	0
22	23	10	2022	0	0	0	0
23	24	10	2022	0	0	0	0
24	25	10	2022	0	0	1	4
25	26	10	2022	0	0	0	0
26	27	10	2022	0	0	0	0
27	28	10	2022	0	0	0	0
28	29	10	2022	2	0	0	0
29	30	10	2022	0	0	0	0
30	31	10	2022	0	0	0	0
31	1	10	2022	0	0	0	0
1	2	11	2022	0	0	0	0
2	3	11	2022	0	0	0	4
3	4	11	2022	0	0	0	0
4	5	11	2022	3	1	0	0
5	6	11	2022	3	2	0	0
6	7	11	2022	7	7	7	7
7	8	11	2022	6	6	6	6
8	9	11	2022	8	8	8	8
9	10	11	2022	4	2	2	4
10	11	11	2022	1	1	6	6
11	12	11	2022	8	8	8	8
12	13	11	2022	8	8	2	0
13	14	11	2022	0	0	0	0
14	15	11	2022	0	0	0	0
15	16	11	2022	3	1	1	0
16	17	11	2022	0	0	0	0
17	18	11	2022	0	0	0	0
18	19	11	2022	0	0	0	0
19	20	11	2022	0	0	0	0
20	21	11	2022	0	0	0	0
21	22	11	2022	0	0	0	0
22	23	11	2022	0	0	0	1
23	24	11	2022	5	3	0	0
24	25	11	2022	0	0	0	0
25	26	11	2022	0	0	4	2
26	27	11	2022	0	0	0	0
27	28	11	2022	0	0	0	0
28	29	11	2022	0	0	0	0
29	30	11	2022	0	0	0	0
30	1	11	2022	1	1	0	0
1	2	12	2022	0	0	0	0
2	3	12	2022	0	0	0	0
3	4	12	2022	0	0	0	0
4	5	12	2022	0	0	0	0
5	6	12	2022	0	0	0	0
6	7	12	2022	0	0	1	1
7	8	12	2022	0	0	0	0
8	9	12	2022	2	2	1	1
9	10	12	2022	0	0	0	0
10	11	12	2022	0	0	0	2
11	12	12	2022	1	2	6	5
12	13	12	2022	0	0	0	0
13	14	12	2022	0	0	0	0
14	15	12	2022	0	0	0	0
15	16	12	2022	0	0	0	0
16	17	12	2022	0	0	0	0
17	18	12	2022	0	0	0	0
18	19	12	2022	0	0	0	0
19	20	12	2022	0	0	0	0
20	21	12	2022	0	0	0	0
21	22	12	2022	0	0	0	0
22	23	12	2022	0	0	0	0
23	24	12	2022	0	0	0	0
24	25	12	2022	0	0	0	0
