year	month	sday	quarter	mean	std	min	25%	50%	75%	max
2015	4	30	4	14495.216326530612	1987.765705029898	9280.0	12928.0	14752.0	16512.0	17024.0
2015	5	1	1	12767.183673469388	2828.304003342254	8448.0	10136.0	12192.0	15440.0	17184.0
2015	5	1	2	12153.6	2513.712019709654	8768.0	10080.0	11328.0	14208.0	16832.0
2015	5	1	3	11929.30612244898	2133.9975459970187	9120.0	10072.0	11312.0	13760.0	16480.0
2015	5	1	4	10903.379591836734	1272.146761976789	9280.0	10016.0	10560.0	11296.0	15488.0
2015	5	2	1	13404.57142857143	2196.362942311442	9536.0	11520.0	13264.0	15680.0	16512.0
2015	5	4	1	12723.42857142857	2152.8551918146	8832.0	10912.0	12672.0	14264.0	16704.0
2015	5	4	2	14285.583673469388	1922.961489873271	9408.0	12896.0	14752.0	16032.0	16448.0
2015	6	17	2	14713.338775510205	1176.965159730655	11616.0	13728.0	14976.0	15776.0	16704.0
2015	6	26	4	14237.714285714286	1160.7847389832493	11232.0	13440.0	14336.0	15128.0	16160.0
2015	6	27	2	11050.666666666666	1508.671652564315	8288.0	9680.0	10944.0	12352.0	14432.0
2015	6	27	3	10809.730612244897	1811.8370378494265	7456.0	9472.0	10656.0	12128.0	15424.0
2015	6	27	4	9589.714285714286	1389.5646246770411	7520.0	8672.0	9504.0	10336.0	15712.0
2015	6	28	1	14647.118367346939	1551.2022645161223	10144.0	13536.0	14976.0	16128.0	16448.0
2015	6	28	3	14075.689795918368	1738.3763203771239	9152.0	12928.0	14816.0	15488.0	16032.0
2015	6	30	1	13955.004081632653	2140.047093280585	10176.0	11872.0	13984.0	16160.0	16640.0
